Year,Rank,Player,Team,Salary
2015,1,Kobe Bryant,Los Angeles Lakers,23500000
2015,2,Joe Johnson,Brooklyn Nets,23180790
2015,3,Carmelo Anthony,New York Knicks,22458401
2015,4,Dwight Howard,Houston Rockets,21436271
2015,5,Chris Bosh,Miami Heat,20644400
2015,6,LeBron James,Cleveland Cavaliers,20644400
2015,7,Chris Paul,LA Clippers,20068563
2015,8,Deron Williams,Brooklyn Nets,19754465
2015,9,Rudy Gay,Sacramento Kings,19317326
2015,10,Kevin Durant,Oklahoma City Thunder,18995624
2015,11,Derrick Rose,Chicago Bulls,18862876
2015,12,Blake Griffin,LA Clippers,17674613
2015,13,Zach Randolph,Memphis Grizzlies,16500000
2015,14,LaMarcus Aldridge,Portland Trail Blazers,16006000
2015,15,Paul George,Indiana Pacers,15937290
2015,16,Marc Gasol,Memphis Grizzlies,15829688
2015,17,Kevin Love,Cleveland Cavaliers,15719063
2015,18,Brook Lopez,Brooklyn Nets,15719062
2015,19,Russell Westbrook,Oklahoma City Thunder,15719062
2015,20,David Lee,Golden State Warriors,15012000
2015,21,Dwyane Wade,Miami Heat,15000000
2015,22,Eric Gordon,New Orleans Pelicans,14898938
2015,23,Roy Hibbert,Indiana Pacers,14898938
2015,24,Tyson Chandler,Dallas Mavericks,14846888
2015,25,Gordon Hayward,Utah Jazz,14746000
2015,26,John Wall,Washington Wizards,14746000
2015,27,DeMarcus Cousins,Sacramento Kings,14746000
2015,28,James Harden,Houston Rockets,14728844
2015,29,Chandler Parsons,Dallas Mavericks,14700000
2015,30,Al Jefferson,Charlotte Hornets,13500000
2015,31,Eric Bledsoe,Phoenix Suns,13000000
2015,32,Nene Hilario,Washington Wizards,13000000
2015,33,Andrew Bogut,Golden State Warriors,12972973
2015,34,Derrick Favors,Utah Jazz,12950000
2015,35,Rajon Rondo,Dallas Mavericks,12909090
2015,36,Joakim Noah,Chicago Bulls,12700000
2015,37,Tony Parker,San Antonio Spurs,12500000
2015,38,Serge Ibaka,Oklahoma City Thunder,12350000
2015,39,Andre Iguodala,Golden State Warriors,12289544
2015,40,Nikola Pekovic,Minnesota Timberwolves,12100000
2015,41,Kyle Lowry,Toronto Raptors,12000000
2015,42,Kevin Garnett,Minnesota Timberwolves,12000000
2015,43,David West,Indiana Pacers,12000000
2015,44,Al Horford,Atlanta Hawks,12000000
2015,45,Nicolas Batum,Portland Trail Blazers,11765500
2015,46,Ty Lawson,Denver Nuggets,11595506
2015,47,Andrea Bargnani,New York Knicks,11500000
2015,48,DeAndre Jordan,LA Clippers,11440123
2015,49,Tyreke Evans,New Orleans Pelicans,11265416
2015,50,JaVale McGee,Philadelphia 76ers,11250000
2015,51,Larry Sanders,Milwaukee Bucks,11000000
2015,52,Danilo Gallinari,Denver Nuggets,10854850
2015,53,Stephen Curry,Golden State Warriors,10629213
2015,54,Marcin Gortat,Washington Wizards,10434782
2015,55,Tim Duncan,San Antonio Spurs,10361446
2015,56,Gerald Wallace,Boston Celtics,10105855
2015,57,DeMar DeRozan,Toronto Raptors,10100000
2015,58,Jrue Holiday,New Orleans Pelicans,9904495
2015,59,Luol Deng,Miami Heat,9714461
2015,60,Anderson Varejao,Cleveland Cavaliers,9704545
2015,61,Steve Nash,Los Angeles Lakers,9701000
2015,62,Paul Millsap,Atlanta Hawks,9500000
2015,63,Thaddeus Young,Brooklyn Nets,9410869
2015,64,Tiago Splitter,San Antonio Spurs,9250000
2015,65,Jeff Green,Memphis Grizzlies,9200000
2015,66,Jordan Hill,Los Angeles Lakers,9000000
2015,67,Lance Stephenson,Charlotte Hornets,9000000
2015,68,Mike Conley,Memphis Grizzlies,8694216
2015,69,Trevor Ariza,Houston Rockets,8579089
2015,70,Channing Frye,Orlando Magic,8579088
2015,71,Marcus Thornton,Phoenix Suns,8575000
2015,72,Ryan Anderson,New Orleans Pelicans,8491500
2015,73,Jeremy Lin,Los Angeles Lakers,8374646
2015,74,Omer Asik,New Orleans Pelicans,8374646
2015,75,Monta Ellis,Dallas Mavericks,8360000
2015,76,Jeff Teague,Atlanta Hawks,8000000
2015,77,Brandon Jennings,Detroit Pistons,8000000
2015,78,O.J. Mayo,Milwaukee Bucks,8000000
2015,79,George Hill,Indiana Pacers,8000000
2015,80,Taj Gibson,Chicago Bulls,8000000
2015,81,Dirk Nowitzki,Dallas Mavericks,7974482
2015,82,Ersan Ilyasova,Milwaukee Bucks,7900000
2015,83,Tayshaun Prince,Detroit Pistons,7707865
2015,84,Boris Diaw,San Antonio Spurs,7500000
2015,85,Arron Afflalo,Portland Trail Blazers,7500000
2015,86,Goran Dragic,Miami Heat,7500000
2015,87,Wesley Matthews,Portland Trail Blazers,7245640
2015,88,Isaiah Thomas,Boston Celtics,7238606
2015,89,Avery Bradley,Boston Celtics,7191011
2015,90,Pau Gasol,Chicago Bulls,7128000
2015,91,Jose Calderon,New York Knicks,7097191
2015,92,Kyrie Irving,Cleveland Cavaliers,7070730
2015,93,Manu Ginobili,San Antonio Spurs,7000000
2015,94,Amir Johnson,Toronto Raptors,7000000
2015,95,Marvin Williams,Charlotte Hornets,7000000
2015,96,Brandon Bass,Boston Celtics,6900000
2015,97,Kevin Martin,Minnesota Timberwolves,6792500
2015,98,JJ Redick,LA Clippers,6792500
2015,99,Wilson Chandler,Denver Nuggets,6757913
2015,100,Jason Richardson,Philadelphia 76ers,6601125
2015,101,JR Smith,Cleveland Cavaliers,6515510
2015,102,Carl Landry,Sacramento Kings,6500000
2015,103,Greivis Vasquez,Toronto Raptors,6400000
2015,104,Derrick Williams,Sacramento Kings,6331404
2015,105,Jarrett Jack,Brooklyn Nets,6300000
2015,106,Kyle Korver,Atlanta Hawks,6253521
2015,107,Landry Fields,Toronto Raptors,6250000
2015,108,Robin Lopez,Portland Trail Blazers,6124729
2015,109,Jason Thompson,Sacramento Kings,6037500
2015,110,Jodie Meeks,Detroit Pistons,6000000
2015,111,Gerald Henderson,Charlotte Hornets,6000000
2015,112,Chuck Hayes,Toronto Raptors,5958750
2015,113,Jason Terry,Houston Rockets,5850313
2015,114,Patrick Patterson,Toronto Raptors,5831326
2015,115,P.J. Tucker,Phoenix Suns,5700000
2015,116,Enes Freedom,Oklahoma City Thunder,5694674
2015,117,Anthony Davis,New Orleans Pelicans,5607240
2015,118,Anthony Bennett,Minnesota Timberwolves,5563920
2015,119,Andrew Wiggins,Minnesota Timberwolves,5510640
2015,120,Greg Monroe,Detroit Pistons,5479934
2015,121,Jamal Crawford,LA Clippers,5450000
2015,122,Courtney Lee,Memphis Grizzlies,5450000
2015,123,Lou Williams,Toronto Raptors,5450000
2015,124,JJ Hickson,Denver Nuggets,5381750
2015,125,Martell Webster,Washington Wizards,5381750
2015,126,Chris Andersen,Miami Heat,5375000
2015,127,Nikola Mirotic,Chicago Bulls,5305000
2015,128,Spencer Hawes,LA Clippers,5305000
2015,129,Paul Pierce,Washington Wizards,5305000
2015,130,Shaun Livingston,Golden State Warriors,5305000
2015,131,Josh McRoberts,Miami Heat,5305000
2015,132,Keith Bogans,Philadelphia 76ers,5285817
2015,133,Zaza Pachulia,Milwaukee Bucks,5200000
2015,134,Tristan Thompson,Cleveland Cavaliers,5138430
2015,135,Michael Kidd-Gilchrist,Charlotte Hornets,5016960
2015,136,Chase Budinger,Minnesota Timberwolves,5000000
2015,137,Trevor Booker,Utah Jazz,5000000
2015,138,Brandan Wright,Phoenix Suns,5000000
2015,139,Nick Young,Los Angeles Lakers,4994420
2015,140,Victor Oladipo,Orlando Magic,4978200
2015,141,Jabari Parker,Milwaukee Bucks,4930560
2015,142,Luis Scola,Indiana Pacers,4868499
2015,143,Tony Allen,Memphis Grizzlies,4831461
2015,144,Chris Kaman,Portland Trail Blazers,4800000
2015,145,Darren Collison,Sacramento Kings,4797664
2015,146,Kostas Papanikolaou,Houston Rockets,4797664
2015,147,Corey Brewer,Houston Rockets,4702500
2015,148,Ricky Rubio,Minnesota Timberwolves,4660479
2015,149,Andre Miller,Sacramento Kings,4650000
2015,150,Timofey Mozgov,Cleveland Cavaliers,4650000
2015,151,Bradley Beal,Washington Wizards,4505280
2015,152,Caron Butler,Detroit Pistons,4500000
2015,153,Jonas Jerebko,Boston Celtics,4500000
2015,154,Ben Gordon,Orlando Magic,4500000
2015,155,Otto Porter Jr.,Washington Wizards,4470480
2015,156,Joel Embiid,Philadelphia 76ers,4427640
2015,157,Luc Mbah a Moute,Philadelphia 76ers,4382576
2015,158,Kris Humphries,Washington Wizards,4250000
2015,159,Jared Dudley,Milwaukee Bucks,4250000
2015,160,CJ Miles,Indiana Pacers,4205000
2015,161,Thabo Sefolosha,Atlanta Hawks,4150000
2015,162,Dion Waiters,Oklahoma City Thunder,4062000
2015,163,Samuel Dalembert,New York Knicks,4051527
2015,164,Cody Zeller,Charlotte Hornets,4030560
2015,165,Danny Green,San Antonio Spurs,4025000
2015,166,Ian Mahinmi,Indiana Pacers,4000000
2015,167,Mario Chalmers,Miami Heat,4000000
2015,168,Aaron Gordon,Orlando Magic,3992040
2015,169,Mo Williams,Charlotte Hornets,3965074
2015,170,Vince Carter,Memphis Grizzlies,3911981
2015,171,Kevin Seraphin,Washington Wizards,3898692
